Package Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Label,
com.jj.subwaysurfhalloween4,android.permission.INTERNET,,,,,,,,,,,,,,,,,,,,,,,,,,NEGATIVE,
com.appholic.belajar.mewarnai,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_PHONE_STATE,android.permission.READ_EXTERNAL_STORAGE,,,,,,,,,,,,,,,,,,,,POSITIVE,
com.parleys.android.devoxx2013,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,POSITIVE,
com.trustapp.logomakersoftware,android.permission.INTERNET,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_PHONE_STATE,android.permission.RECORD_AUDIO,android.permission.CAMERA,android.permission.VIBRATE,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.RECEIVE_SMS,android.permission.RECORD_VIDEO,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.READ_CONTACTS,android.permission.WRITE_CONTACTS,android.permission.BROADCAST_STICKY,android.permission.GET_ACCOUNTS,com.trustapp.logomakersoftware.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.READ_EXTERNAL_STORAGE,,,,,,,NEGATIVE,
com.a27819331152d86b6a45d271a.a83178778a,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_ACCOUNTS,android.permission.READ_PHONE_STATE,,,,,,,,,,,,,,,,,,,,POSITIVE,
gogo3.enee,android.permission.WAKE_LOCK,android.permission.RESTART_PACKAGES,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.BLUETOOTH_ADMIN,android.permission.BLUETOOTH,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.SET_DEBUG_APP,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,android.permission.READ_CONTACTS,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.SEND_SMS,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.BROADCAST_STICKY,android.permission.READ_PHONE_STATE,android.permission.CHANGE_WIFI_STATE,com.android.vending.CHECK_LICENSE,com.android.vending.BILLING,com.sec.android.iap.permission.BILLING,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_CALL_LOG,POSITIVE,
fr.renault.twizy.android,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.CAMERA,,,,,,,,,,,,,,,,,,,,,,,POSITIVE,
com.chaitukadivella.ticketbookingandmobilerecharge,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.CALL_PRIVILEGED,android.permission.GET_ACCOUNTS,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,POSITIVE,
com.unbound.android.medl,android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE,,,,,,,,,,,,,,,,,,,,POSITIVE,
